hajagiree	हजगिरी
chekaanv	चेकॉव
spinagaarn	स्पिनगार्न
medal	मेडल
chetthinaad	चेत्तिनाद
hari	हरी
bhoomi	भूमि
yaanhmsan	थॉम्सन
hanumaan	हनुमान
abhinetri	अभिनेत्री
to	टू
sikkim	सिक्किम
abdus	अब्दुस
salam	सलाम
alvar	अलवर
kapil	कपिल
dev	देव
baaflayer	बार्फ्लेयर
capilano	कॅपीलानो
suspension	सस्पेंशन
graham	ग्रैहम
stephenson	स्टीवंसन
auckland	अकलैंड
art	आर्ट
museum	म्युज़ियम
kamlesh	कमलेश
effi	एफी
awards	अवार्ड्‍स
warren	वॉरेन
visneski	विसनेस्की
brus	ब्रूस
aigar	एगर
jaun	जॉन
miltan	मिल्टन
ai	आई
yaad	याद
teri	तेरी
abdus	अब्दुस
samad	समद
ernaa	एर्ना
shree	श्री
ram	राम
bharat	भरत
milap	मिलाप
roci	रॉक्सी
kedy	केडी
madihah	मदिहाह
aahlad	आह्लाद
bornham	बॉर्नहेम
fort	फोर्ट
erma	एर्मा
mera	मेरा
lalkar	ललकार
apoorva	अपूर्वा
civilla	सिविला
ranchi	रांची
kapila	कपिला
modesti	मोडेस्टी
elan	ऐलन
vels	वेल्स
abhishok	अभिशोक
bedard	बेदर्द
jamana	ज़माना
kya	क्या
jaane	जाने
aaditya	आदित्य
savitshri	सवितश्री
abot	एबॉट
india	इंडिया
irfan	इरफान
samedemose	सेंटीमोस
chaarsee	चांसी
mahafhooj	महाभुज
gardi	ग्रंडी
kofare	कॉफरे
d	डी
perood	पेरोट
kovlin	कॉलिन
crofd	क्रोफ्ट
tirupati	तिरुपती
bhatti	भट्टी
gurdwara	गुरूद्वारा
betma	बेटमा
sahib	साहिब
zapata	ज़पाटा
bhanwar	भंवरसिंह
passenger	राही
gambler	जुआरी
adas	आदस
ilenaabaad	इलेनाबाद
varjeeniya	वर्जीनिया
reel	रील
intikaam	इंतिक़ाम
kee	की
aag	आग
maijar	मैज़र
arawalee	अरावली
rod	रोड
thayer	थायेर
sentaems	सेंटाइम्स
lut	लुत
shyama	श्यामा
wilkin	विल्किन
darvin	डार्विन
yatim	यतीम
john	जॉन
pan	पेन
gua	गुआ
sipinkuga	सिपीकुंग
sekhva	सेखवा
aajam	आज़म
shakti	शक्ति
gordhan	गोरधन
chandresh	चंद्रेश
water	वाटर
polo	पोलो
aakhiri	आखिरी
adalat	अदालत
university	यूनिवर्सिटी
christopher	क्रिस्टोफर
reeve	रीव
amriteshaya	अमृतेशय
fort	फोर्ट
vermillion	वर्मिलियन
bellerophon	बेलरोफोन
nasa	नासा
medal	मेडल
for	फॉर
exceptional	एक्सेप्शनल
off	ऑफ
colorado	कोलोरैडो
denvik	दैन‍िक
bhaskar	भास्कर
dugirala	दुगिराला
pyaar	प्यार
ki	की
baji	बाज़ी
kanak	कनक
maulana	मौलाना
scientific	साइंटीफिक
achievement	अचीवमेंट
abdul	अब्दुल
tawwab	तव्वाब
palm	पाम
spring	स्प्रिंग
henry	हेनरी
williams	विलियम्स
bodan	बोडन
fort	फोर्ट
abdul	अब्दुल
kalam	कलाम
azaad	आज़ाद
patekar	पाटेकर
rebaba	रेबाबा
shark	शार्क
naugty	नॉटी
boy	बॉय
mesosphere	मीसोस्फीयर
dhanshyan	घनश्याम
sun	सन
peolo	पेओलो
me	मी
sudesh	सुदेश
track	ट्रैक
end	एण्ड
field	फील्ड
ghamand	घमंड
juma	जुमा
centurion	सेंचूरियन
khalid	खालिद
mashoodah	मशूद
anberdekr	आंबर्डेकर
ghaare	घारे
perin	पेरीन
over	ओवर
imposhsible	असंभव
mevaaraam	मेवाराम
divarath	दिवारथ
guljar	गुल्जार
andrew	एण्ड्रयू
flintoff	फ्लिंटॉफ
wilmet	विल्मेट
blonde	गोरा
vanburn	वैनबर्न
holder	होल्डर
season	ऋतु
treacherous	बेवफ़ा
chaina	चाइना
national	नेशनल
rajendramohan	राजेंद्रमोहन
sadanand	सदानन्द
dholpur	धौलपुर
nasrin	नसरीन
zamaana	ज़माना
order	ऑडर
off	ऑफ
sikatuna	सिकाटुना
kaala	काला
dhandha	धंधा
petroleum	पेट्रोलियम
barnet	बार्नेट
vedgya	वेदज्ञ
parwez	परवेज़
gohpur	गोहपुर
chunnilaal	चुन्नीलाल
nadere	नदेरे
ireland	आयलैंड
bansuri	बांसुरी
sewan	सेवन
gore	गोरे
log	लोग
rock	रॉक
lake	लेक
baspist	बैपटिस्ट
pakararima	पाकाराइमा
mahadevi	महादेवी
verma	वर्मा
jatan	जतन
braveward	ब्रेवार्ड
mails	माइल्स
aenaadaayar	एनाडायर
katak	कटक
zyoorik	ज़्यूरिक
faainaanshiyal	फ़ाइनेंशियल
sarvisez	सर्विसेज़
mishelin	मिशेलिन
varta	वर्ट
gullapoor	गुल्लपूर
brita	ब्रिट
gaaye	गाए
vittal	व्हिट्टल
empero	इंपेरो
jaagran	जागरण
samprprith	सम्प्रीत
florus	फ्लोरस
julia	जुलिया
child	चाइल्ड
corporation	कॉर्पोरेशन
bank	बैंक
dalel	दलेल
river	रिवर
phoenix	फ़ोनिक्स
swanna	सवान्ना
chandril	चंद्रिल
hisham	हिशाम
syed	सय्यद
kirmani	किरमानी
balawali	बलावाली
siddheshwari	सिद्धेश्वरी
varship	वर्शिप
sentar	सेंटर
kaiptan	कैप्टन
bairee	बैरी
shikhkar	शिखर
par	पर
gurjeet	गुरजीत
aelsaas	एल्सास
seviyar	सेवियर
baanchar	बॉचर
memoriyal	मेमोरियल
praais	प्राइज़
valt	वॉल्ट
dijani	डिज़्नी
kritendan	क्रिटेंडन
kalevari	क्लेवरी
baiptist	बैपटिस्ट
beljiyam	बेल्जियम
intal	इंटल
bijnes	बिज़नेस
kash	काश
sautan	सौतन
ki	की
beti	बेटी
steve	स्टीव
rikson	रिक्सन
